Id,Weekly_Sales
1_1_2012-11-02,27460.910800000016
1_1_2012-11-09,19924.71980000001
1_1_2012-11-16,20921.2711
1_1_2012-11-23,21532.170500000007
1_1_2012-11-30,21877.03620000001
1_1_2012-12-07,39986.15029999999
1_1_2012-12-14,33829.73740000001
1_1_2012-12-21,51659.65450000004
1_1_2012-12-28,22941.98489999999
1_1_2013-01-04,19859.055799999976
1_1_2013-01-11,19146.245599999966
1_1_2013-01-18,18404.04219999999
1_1_2013-01-25,18662.15879999999
1_1_2013-02-01,31354.852000000024
1_1_2013-02-08,35417.988900000055
1_1_2013-02-15,30561.756100000046
1_1_2013-02-22,25765.504600000022
1_1_2013-03-01,24694.43859999998
1_1_2013-03-08,23737.651299999976
1_1_2013-03-15,23930.787899999974
1_1_2013-03-22,30932.574199999977
1_1_2013-03-29,26001.506099999977
1_1_2013-04-05,29799.855400000004
1_1_2013-04-12,37216.98530000003
1_1_2013-04-19,21752.759700000017
1_1_2013-04-26,23777.7144
1_1_2013-05-03,18317.8281
1_1_2013-05-10,23844.82049999998
1_1_2013-05-17,39129.596000000005
1_1_2013-05-24,28893.995800000044
1_1_2013-05-31,18269.211600000024
1_1_2013-06-07,21025.467900000032
1_1_2013-06-14,32535.95420000007
1_1_2013-06-21,33798.25479999999
1_1_2013-06-28,26535.59760000003
1_1_2013-07-05,30892.938699999977
1_1_2013-07-12,22608.755100000017
1_1_2013-07-19,21237.07160000002
1_1_2013-07-26,15926.915699999998
1_2_2012-11-02,47489.49740000003
1_2_2012-11-09,48140.341899999985
1_2_2012-11-16,45364.95360000003
1_2_2012-11-23,44161.20899999999
1_2_2012-11-30,46638.8813
1_2_2012-12-07,51725.263600000006
1_2_2012-12-14,52863.579899999975
1_2_2012-12-21,54397.994000000006
1_2_2012-12-28,43282.04669999999
1_2_2013-01-04,42509.37439999996
1_2_2013-01-11,44217.650399999955
1_2_2013-01-18,43372.27549999995
1_2_2013-01-25,42439.963599999995
1_2_2013-02-01,49665.98970000001
1_2_2013-02-08,53015.08350000001
1_2_2013-02-15,51351.017700000026
1_2_2013-02-22,51793.66580000001
1_2_2013-03-01,48451.82450000003
1_2_2013-03-08,45182.514799999975
1_2_2013-03-15,46459.24450000004
1_2_2013-03-22,49228.46049999998
1_2_2013-03-29,47916.951899999985
1_2_2013-04-05,48725.8506
1_2_2013-04-12,46670.52109999998
1_2_2013-04-19,45970.70669999995
1_2_2013-04-26,47222.82410000002
1_2_2013-05-03,45888.00109999997
1_2_2013-05-10,46992.05319999999
1_2_2013-05-17,51199.774999999936
1_2_2013-05-24,47915.50429999998
1_2_2013-05-31,45743.734699999986
1_2_2013-06-07,46706.115099999995
1_2_2013-06-14,50732.92429999996
1_2_2013-06-21,49544.01499999996
1_2_2013-06-28,48323.22849999997
1_2_2013-07-05,47969.06470000001
1_2_2013-07-12,45543.096300000034
1_2_2013-07-19,46923.584500000026
1_2_2013-07-26,45217.37470000001
1_3_2012-11-02,10120.780799999997
1_3_2012-11-09,10074.445099999997
1_3_2012-11-16,9984.757
1_3_2012-11-23,9657.84480000001
1_3_2012-11-30,10067.573899999996
1_3_2012-12-07,11951.479100000011
1_3_2012-12-14,12341.186100000006
1_3_2012-12-21,12505.122100000011
1_3_2012-12-28,8679.93469999999
1_3_2013-01-04,12822.801799999997
1_3_2013-01-11,13528.636500000008
1_3_2013-01-18,12411.240899999993
1_3_2013-01-25,11570.565600000004
1_3_2013-02-01,11461.846500000003
1_3_2013-02-08,12093.502000000013
1_3_2013-02-15,12024.618100000016
1_3_2013-02-22,11963.10850000001
1_3_2013-03-01,11590.870699999994
1_3_2013-03-08,11275.355299999996
1_3_2013-03-15,9716.124299999994
1_3_2013-03-22,9510.24199999999
1_3_2013-03-29,11175.452399999995
1_3_2013-04-05,10239.775699999991
1_3_2013-04-12,9687.127799999993
1_3_2013-04-19,8931.089899999994
1_3_2013-04-26,9057.132999999983
1_3_2013-05-03,8622.489200000005
1_3_2013-05-10,9912.073200000003
1_3_2013-05-17,9019.3229
1_3_2013-05-24,8181.541699999996
1_3_2013-05-31,8177.625299999988
1_3_2013-06-07,7942.311200000001
1_3_2013-06-14,8034.362499999999
1_3_2013-06-21,8702.549300000006
